"date","r_star_filter_variance","r_star_parameter_variance","r_star_total_se","pi_star_filter_variance","pi_star_parameter_variance","pi_star_total_se","w_filter_variance","w_parameter_variance","w_total_se"
1968-10-01,1.53966937331088,0.318327252839105,1.36308349933157,1.90275108191761,0.871515321120344,1.66561292113082,0.0846774904243616,0.208999710724594,0.54191992134351
1968-11-01,1.2743797262571,0.495949284187034,1.33053711351624,1.55919149041387,1.00294111919043,1.60066630176446,0.0713136228655201,0.226348682418496,0.545584370454301
1968-12-01,0.376426835791811,0.85090700586929,1.10785100156163,0.441095705459805,0.179196903843887,0.787586572577067,0.0452663791213681,0.319055918767756,0.603591167835584
1969-01-01,0.369295498123381,0.891744490899603,1.12296036841154,0.439073790856081,0.244692541081125,0.826901645866789,0.0439067626195404,0.31801787449642,0.601601726323953
1969-02-01,0.365125610854331,0.927630032448801,1.13699412632745,0.43596697188981,0.295202978119941,0.855084761886067,0.0434206415381219,0.307616208432385,0.59248362844091
1969-03-01,0.225371705389649,1.02304632019516,1.11732628429873,0.261452152074481,0.141744160129558,0.634977410782493,0.0395813684763293,0.32075759347373,0.60028240183272
1969-04-01,0.231057547282378,1.00658053503223,1.11249183471817,0.272595616889664,0.173201081574379,0.667680086915915,0.0391662289046286,0.326915596210043,0.60504696108209
1969-05-01,0.237641128825155,1.0342658616941,1.12778853980667,0.281903105585918,0.195078602874355,0.69063862363777,0.039087823360447,0.317114847502356,0.596827170010551
1969-06-01,0.174622228837755,1.07997114260204,1.12008632320897,0.201696133120425,0.10719688248556,0.555781445899361,0.0375525299356309,0.31775742975439,0.596078820031395
1969-07-01,0.183411483686813,1.11328203650581,1.13872451461827,0.215652642160517,0.127742563908521,0.585999322584111,0.0373968344023931,0.312676300546855,0.5916697853949
1969-08-01,0.192777472316886,1.14236648702453,1.15548429644951,0.228026091874675,0.146695336427932,0.612144940600351,0.0375614472723793,0.314175505378481,0.593074154428314
1969-09-01,0.152409183909456,1.25100140966073,1.1846563187567,0.175682626075797,0.0907591864714887,0.516180019515756,0.0365423756542972,0.336963300986737,0.611151107862069
1969-10-01,0.162392178622126,1.23479601669407,1.18202715506717,0.190552928447165,0.102668607293178,0.541499340480063,0.0364407189923091,0.342896759338932,0.615903789833478
1969-11-01,0.172816212234311,1.21264756497794,1.17705725315817,0.204020545096063,0.120670865476351,0.569816997440769,0.0366781835698114,0.335362779620019,0.609951607252436
1969-12-01,0.141644016066306,1.24479383939375,1.17747095737434,0.16305433754283,0.080182780883321,0.493190752575665,0.0360055054358052,0.358152255422202,0.627819847454671
1970-01-01,0.152144538369439,1.26964800549784,1.19238942626446,0.178324372055655,0.0981482880074066,0.525806675559622,0.0359144816996022,0.368283981110772,0.635766044084123
1970-02-01,0.163029952260399,1.28078471217081,1.20158839226717,0.192244478233505,0.119432898682757,0.55828073306918,0.036138108755384,0.368796316380578,0.636344580503332
1970-03-01,0.136187013736451,1.27635656185388,1.18850476464772,0.156624308270875,0.0910807753649814,0.497699792682152,0.0357663849834464,0.381618275580908,0.646053140665963
1970-04-01,0.146953644076766,1.31364685789667,1.20855306129828,0.172117244051841,0.108633912276834,0.529859562835922,0.0357219113341409,0.37725435952197,0.642632298329388
1970-05-01,0.158045815720082,1.37982638279893,1.24010975261023,0.186273572283853,0.124301128819834,0.557292294136288,0.0359100263994943,0.362178044139494,0.630942208557161
1970-06-01,0.133260358233612,1.44907723774761,1.25791001108236,0.15324561257455,0.0900022106847186,0.49320160508586,0.0355202419923463,0.378989215853639,0.643824089209145
1970-07-01,0.144220242520613,1.4280347825254,1.25389593868312,0.168873129020557,0.107140652864419,0.525370137983666,0.0355904059301325,0.385058470065397,0.648574495332286
1970-08-01,0.155461269123158,1.40822967440688,1.25047628667242,0.183170121504655,0.126255717305967,0.556260585347031,0.0358374324619783,0.389660380196297,0.652301933661303
1970-09-01,0.131779489622459,1.38061307055113,1.22979370634818,0.15148625993119,0.0892156319682506,0.490613790979667,0.0355004685110142,0.395759523581454,0.656703884633301
1970-10-01,0.142812670525143,1.35088886895138,1.22217083072561,0.167179411837032,0.108020399262103,0.52459490189968,0.0355863204843686,0.385271196974328,0.648735321574752
1970-11-01,0.154173974816328,1.27114836113761,1.19386864267135,0.181595134751806,0.135067777944619,0.562728098371162,0.0359638379237442,0.390600102616488,0.653118626698269
1970-12-01,0.131139142192034,1.21589010236617,1.16061589018857,0.150622864226306,0.105091043250949,0.505681626596473,0.035781272131706,0.392013380345028,0.654060129098796
1971-01-01,0.142182724435582,1.22037478721549,1.16728638801756,0.166348733245759,0.132815330969313,0.546958923700009,0.035852116160851,0.399415015236131,0.659747778622241
1971-02-01,0.153560576408649,1.19670463312124,1.1620091262679,0.180774152850344,0.158868235340904,0.582788459212472,0.0362540252361329,0.408620440250998,0.666989104474076
1971-03-01,0.130890860075207,1.12656379469309,1.12136285597852,0.15017276134268,0.11803876428497,0.517891422624135,0.0362831162866005,0.394084309593876,0.656023952215524
